       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  6.155900e-01        1.234508e-01        4.888164e-01        3.729287e-01        1.467454e-02        1.295019e-04        5.279215e+00  
  6.230850e-01        1.206085e-01        4.864949e-01        3.776870e-01        1.507478e-02        1.347924e-04        5.287632e+00  
  6.305800e-01        1.178399e-01        4.841342e-01        3.824061e-01        1.547950e-02        1.402195e-04        5.295945e+00  
  6.380750e-01        1.151430e-01        4.817367e-01        3.870858e-01        1.588864e-02        1.457845e-04        5.304157e+00  
  6.455700e-01        1.125160e-01        4.793047e-01        3.917257e-01        1.630214e-02        1.514886e-04        5.312268e+00  
  6.530650e-01        1.099568e-01        4.768404e-01        3.963255e-01        1.671995e-02        1.573329e-04        5.320280e+00  
  6.605600e-01        1.074637e-01        4.743459e-01        4.008850e-01        1.714201e-02        1.633186e-04        5.328195e+00  
  6.680550e-01        1.050349e-01        4.718234e-01        4.054040e-01        1.756826e-02        1.694468e-04        5.336014e+00  
  6.755500e-01        1.026685e-01        4.692748e-01        4.098822e-01        1.799863e-02        1.757185e-04        5.343738e+00  
  6.830450e-01        1.003631e-01        4.667021e-01        4.143196e-01        1.843308e-02        1.821350e-04        5.351369e+00  
  6.905400e-01        9.811676e-02        4.641071e-01        4.187158e-01        1.887155e-02        1.886971e-04        5.358908e+00  
  6.980350e-01        9.592803e-02        4.614916e-01        4.230709e-01        1.931396e-02        1.954059e-04        5.366357e+00  
  7.055300e-01        9.379533e-02        4.588573e-01        4.273847e-01        1.976028e-02        2.022625e-04        5.373716e+00  
  7.130250e-01        9.171715e-02        4.562060e-01        4.316571e-01        2.021043e-02        2.092677e-04        5.380988e+00  
  7.205200e-01        8.969200e-02        4.535392e-01        4.358880e-01        2.066436e-02        2.164224e-04        5.388174e+00  
  7.280150e-01        8.771846e-02        4.508583e-01        4.400774e-01        2.112200e-02        2.237277e-04        5.395274e+00  
  7.355100e-01        8.579513e-02        4.481651e-01        4.442252e-01        2.158332e-02        2.311843e-04        5.402290e+00  
  7.430050e-01        8.392067e-02        4.454607e-01        4.483315e-01        2.204823e-02        2.387932e-04        5.409223e+00  
  7.505000e-01        8.209376e-02        4.427468e-01        4.523962e-01        2.251669e-02        2.465551e-04        5.416075e+00  
  7.579950e-01        8.031311e-02        4.400244e-01        4.564193e-01        2.298864e-02        2.544709e-04        5.422847e+00  
  7.654900e-01        7.857750e-02        4.372950e-01        4.604009e-01        2.346402e-02        2.625413e-04        5.429539e+00  
  7.729850e-01        7.688570e-02        4.345597e-01        4.643410e-01        2.394278e-02        2.707672e-04        5.436153e+00  
  7.804800e-01        7.523654e-02        4.318198e-01        4.682396e-01        2.442485e-02        2.791491e-04        5.442690e+00  
  7.879750e-01        7.362888e-02        4.290763e-01        4.720969e-01        2.491018e-02        2.876879e-04        5.449151e+00  
  7.954700e-01        7.206161e-02        4.263304e-01        4.759129e-01        2.539871e-02        2.963842e-04        5.455538e+00  
